C-VPIZR-0;C-VPI1-0;F-VPIMZBM
VPIZR-199911;VPI-0;209,80000
VPIZR-199912;VPI-0;211,20000
VPIZR-1999;VPI-0;209,00000
VPIZR-200001;VPI-0;210,60000
VPIZR-200002;VPI-0;212,00000
VPIZR-200003;VPI-0;212,70000
VPIZR-200004;VPI-0;212,40000
VPIZR-200005;VPI-0;212,70000
VPIZR-200006;VPI-0;214,30000
VPIZR-200007;VPI-0;214,50000
VPIZR-200008;VPI-0;214,50000
VPIZR-200009;VPI-0;215,10000
VPIZR-200010;VPI-0;215,50000
VPIZR-200011;VPI-0;216,30000
VPIZR-200012;VPI-0;216,70000
VPIZR-2000;VPI-0;213,90000
VPIZR-200101;VPI-0;217,10000
VPIZR-200102;VPI-0;217,80000
VPIZR-200103;VPI-0;218,20000
VPIZR-200104;VPI-0;219,20000
VPIZR-200105;VPI-0;219,70000
VPIZR-200106;VPI-0;220,10000
VPIZR-200107;VPI-0;220,30000
VPIZR-200108;VPI-0;219,90000
VPIZR-200109;VPI-0;220,50000
VPIZR-200110;VPI-0;220,70000
VPIZR-200111;VPI-0;220,50000
VPIZR-200112;VPI-0;221,00000
VPIZR-2001;VPI-0;219,60000
VPIZR-200201;VPI-0;221,60000
VPIZR-200202;VPI-0;221,80000
VPIZR-200203;VPI-0;222,20000
VPIZR-200204;VPI-0;223,10000
VPIZR-200205;VPI-0;223,70000
VPIZR-200206;VPI-0;224,00000
VPIZR-200207;VPI-0;223,70000
VPIZR-200208;VPI-0;224,20000
VPIZR-200209;VPI-0;224,20000
VPIZR-200210;VPI-0;224,60000
VPIZR-200211;VPI-0;224,40000
VPIZR-200212;VPI-0;225,00000
VPIZR-2002;VPI-0;223,50000
VPIZR-200301;VPI-0;225,50000
VPIZR-200302;VPI-0;225,70000
VPIZR-200303;VPI-0;226,30000
VPIZR-200304;VPI-0;226,10000
VPIZR-200305;VPI-0;226,10000
VPIZR-200306;VPI-0;226,50000
VPIZR-200307;VPI-0;226,30000
VPIZR-200308;VPI-0;226,90000
VPIZR-200309;VPI-0;227,40000
VPIZR-200310;VPI-0;226,90000
VPIZR-200311;VPI-0;227,40000
VPIZR-200312;VPI-0;227,80000
VPIZR-2003;VPI-0;226,60000
VPIZR-200401;VPI-0;228,00000
VPIZR-200402;VPI-0;228,90000
VPIZR-200403;VPI-0;229,70000
VPIZR-200404;VPI-0;229,70000
VPIZR-200405;VPI-0;230,80000
VPIZR-200406;VPI-0;231,70000
VPIZR-200407;VPI-0;231,20000
VPIZR-200408;VPI-0;232,10000
VPIZR-200409;VPI-0;232,10000
VPIZR-200410;VPI-0;232,90000
VPIZR-200411;VPI-0;233,40000
VPIZR-200412;VPI-0;234,40000
VPIZR-2004;VPI-0;231,20000
VPIZR-200501;VPI-0;234,60000
VPIZR-200502;VPI-0;235,30000
