Year;Month;VPI
2004;10;408,8
2004;11;409,6
2004;12;411,4
2004;13;405,9
2005;1;411,8
2005;2;412,9
2005;3;414,8
2005;4;413,7
2005;5;414,4
2005;6;415,9
2005;7;414,8
2005;8;415,6
2005;9;417,1
2005;10;417,1
2005;11;416,3
2005;12;417,8
2005;13;415,2
2006;1;416,9
2006;2;418,1
2006;3;419,4
2006;4;421,4
2006;5;421,8
2006;6;422,3
2006;7;421,8
2006;8;423,1
2006;9;422,3
2006;10;421,8
2006;11;422,3
2006;12;423,5
2006;13;421,2
2007;1;423,5
2007;2;424,7
2007;3;426,8
2007;4;428,9
2007;5;430,1
2007;6;430,6
2007;7;430,6
2007;8;430,1
2007;9;431
2007;10;433,5
2007;11;435,5
2007;12;438,9
2007;13;430,4
2008;1;437,2
2008;2;438,5
2008;3;441,8
2008;4;443
2008;5;445,9
2008;6;447,2
2008;7;446,8
2008;8;445,9
2008;9;447,2
2008;10;446,8
2008;11;445,5
2008;12;444,7
2008;13;444,2
2009;1;442,6
2009;2;444,3
2009;3;445,1
2009;4;445,9
2009;5;447,2
2009;6;446,8
2009;7;445,5
2009;8;447,2
2009;9;447,6
2009;10;447,6
2009;11;448,4
2009;12;449,2
2009;13;446,5
2010;1;448
2010;2;448,8
2010;3;453,8
2010;4;455,1
2010;5;455,5
2010;6;455,5
2010;7;453,8
2010;8;454,6
2010;9;455,9
2010;10;457,1
2010;11;456,7
2010;12;459,6
2010;13;454,5
2011;1;459
2011;2;462,2
2011;3;467,7
2011;4;470
2011;5;470,4
2011;6;470,4
2011;7;469,5
2011;8;470,4
2011;9;472,2
2011;10;472,7
2011;11;473,1
2011;12;474
2011;13;469,3
2012;1;471,8
2012;2;474
2012;3;479
2012;4;480,9
2012;5;480,4
2012;6;480,9
2012;7;479,5
2012;8;480,9
2012;9;485
2012;10;485,9
2012;11;486,3
2012;12;487,2
2012;13;481
2013;1;484,5
2013;2;485,9
2013;3;490
2013;4;490,4
2013;5;491,3
2013;6;491,3
2013;7;489
2013;8;489,5
2013;9;493,1
2013;10;492,7
2013;11;493,1
2013;12;496,3
2013;13;490,6
2014;1;492,2
2014;2;493,1
2014;3;498,1
2014;4;498,6
2014;5;500
2014;6;500,4
2014;7;497,7
2014;8;497,7
2014;9;500,9
2014;10;500,4
2014;11;501,3
2014;12;501,3
2014;13;498,5
2015;1;495,9
2015;2;497,2
2015;3;503,1
2015;4;503,6
2015;5;504,9
2015;6;505,4
2015;7;503,6
2015;8;502,7
2015;9;504,5
2015;10;504
2015;11;504,5
2015;12;506,3
2015;13;503
2016;1;502
2016;2;502,5
2016;3;506,5
2016;4;506,5
2016;5;508
2016;6;508,5
2016;7;506,5
2016;8;505,5
2016;9;509
2016;10;510,5
2016;11;511
2016;12;513,6
2016;13;507,5
2017;1;512,1
2017;2;513,6
2017;3;516,1
2017;4;517,1
2017;5;517,6
2017;6;518,1
2017;7;516,6
2017;8;516,1
2017;9;521,1
2017;10;521,6
2017;11;522,6
2017;12;524,6
2017;13;518,1
2018;1;521,1
2018;2;522,6
2018;3;525,6
2018;4;526,6
2018;5;527,6
2018;6;528,7
2018;7;527,6
2018;8;527,6
2018;9;531,7
2018;10;533,2
2018;11;534,2
2018;12;534,7
2018;13;528,4
2019;1;530,7
2019;2;530,7
2019;3;535,2
2019;4;535,7
2019;5;536,7
2019;6;537,2
2019;7;535,2
2019;8;535,7
2019;9;538,2
2019;10;539,2
2019;11;540,2
2019;12;543,7
2019;13;536,5
2020;1;541,2
2020;2;542,2
2020;3;543,7
2020;4;543,7
2020;5;540,2
2020;6;543,2
2020;7;544,2
2020;8;543,2
2020;9;545,8
2020;10;546,3
2020;11;547,3
2020;12;550,3
2020;13;544,3
2021;1;545,9
2021;2;548,7
2021;3;554,6
2021;4;554,1
2021;5;555,7
2021;6;558,5
2021;7;560,1
2021;8;560,6
